name= \My Documents\HR1024_Data\DS115.,,,,,name= \My Documents\HR1024_Data\DS116.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 200  60  30  500  60  30,,,,,integration= 200  60  30  500  60  30,,,,,
scan time= 1  1,,,,,scan time= 1  1,,,,,
scan settings= AD  AI  AD  AI,,,,,scan settings= AD  AI  AD  AI,,,,,
external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set1= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,
optic= LENS4   LENS4 ,,,,,optic= LENS4   LENS4 ,,,,,
temp= 31.05  8.88  -5.37  39.11  8.94  -5.30,,,,,temp= 31.05  8.88  -5.37  39.35  8.94  -5.37,,,,,
battery= 7.7  7.2,,,,,battery= 7.7  7.2,,,,,
error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 1/12/08 9:49:29 AM  1/12/08 10:08:56 AM,,,,,time= 1/12/08 9:49:29 AM  1/12/08 10:09:27 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,
memory slot= 0  0,,,,,memory slot= 0  0,,,,,
factors= ,,,,,factors= ,,,,,
,,,,,,,,,,AVERAGE OF INPUT FILES: DS115:DS116
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
408.2,2650.73,153.25,5.78,,408.2,2650.73,84.65,3.19,,408.2,2650.73,118.95,4.49,,
409.7,2746.24,161.28,5.87,,409.7,2746.24,85.12,3.10,,409.7,2746.24,123.20,4.49,,
411.3,2843.51,167.99,5.91,,411.3,2843.51,87.21,3.07,,411.3,2843.51,127.60,4.49,,
412.8,2936.43,171.59,5.84,,412.8,2936.43,90.06,3.07,,412.8,2936.43,130.83,4.46,,
414.3,3034.90,167.41,5.52,,414.3,3034.90,101.82,3.35,,414.3,3034.90,134.62,4.44,,
415.8,3152.50,179.00,5.68,,415.8,3152.50,94.00,2.98,,415.8,3152.50,136.50,4.33,,
417.4,3253.58,190.26,5.85,,417.4,3253.58,101.20,3.11,,417.4,3253.58,145.73,4.48,,
418.9,3339.60,189.24,5.67,,418.9,3339.60,99.18,2.97,,418.9,3339.60,144.21,4.32,,
420.4,3424.70,192.42,5.62,,420.4,3424.70,100.70,2.94,,420.4,3424.70,146.56,4.28,,
421.9,3487.22,189.73,5.44,,421.9,3487.22,99.70,2.86,,421.9,3487.22,144.72,4.15,,
423.5,3546.87,188.67,5.32,,423.5,3546.87,100.87,2.84,,423.5,3546.87,144.77,4.08,,
425.0,3613.98,189.69,5.25,,425.0,3613.98,97.99,2.71,,425.0,3613.98,143.84,3.98,,
426.5,3695.85,190.92,5.17,,426.5,3695.85,96.32,2.61,,426.5,3695.85,143.62,3.89,,
428.0,3801.23,183.08,4.82,,428.0,3801.23,98.52,2.59,,428.0,3801.23,140.80,3.70,,
429.5,3926.30,188.81,4.81,,429.5,3926.30,97.17,2.47,,429.5,3926.30,142.99,3.64,,
431.1,4071.24,193.50,4.75,,431.1,4071.24,99.85,2.45,,431.1,4071.24,146.68,3.60,,
432.6,4225.66,201.48,4.77,,432.6,4225.66,102.28,2.42,,432.6,4225.66,151.88,3.59,,
434.1,4373.60,203.28,4.65,,434.1,4373.60,100.87,2.31,,434.1,4373.60,152.08,3.48,,
435.6,4514.36,211.30,4.68,,435.6,4514.36,106.81,2.37,,435.6,4514.36,159.06,3.52,,
437.1,4642.95,216.06,4.65,,437.1,4642.95,110.76,2.39,,437.1,4642.95,163.41,3.52,,
438.6,4769.06,227.15,4.76,,438.6,4769.06,110.83,2.32,,438.6,4769.06,168.99,3.54,,
440.1,4906.69,226.01,4.61,,440.1,4906.69,113.40,2.31,,440.1,4906.69,169.71,3.46,,
441.6,5042.30,229.09,4.54,,441.6,5042.30,107.33,2.13,,441.6,5042.30,168.21,3.34,,
443.1,5179.95,241.38,4.66,,443.1,5179.95,113.40,2.19,,443.1,5179.95,177.39,3.42,,
444.7,5318.34,244.13,4.59,,444.7,5318.34,122.48,2.30,,444.7,5318.34,183.31,3.45,,
446.2,5433.01,251.76,4.63,,446.2,5433.01,126.30,2.32,,446.2,5433.01,189.03,3.48,,
447.7,5551.25,261.49,4.71,,447.7,5551.25,119.96,2.16,,447.7,5551.25,190.73,3.44,,
449.2,5676.48,263.52,4.64,,449.2,5676.48,124.42,2.19,,449.2,5676.48,193.97,3.42,,
